#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2016-10-26T21:16:10 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ58111cd1150b	
#INFO	-out.max=unlimited	
#INFO	queryParameters=21	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/A+A/445/423&tab:{J/A+A/445/423/table2}&tab:{J/A+A/445/423/cep}&key:source=J/A+A/445/423&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-x.rs=10
#-source=J/A+A/445/423/table2,J/A+A/445/423/cep
#-order=I
#-out=Cl
#-out=RAJ2000
#-out=DEJ2000
#-out=RPer
#-out=RSig
#-out=IPer
#-out=ISig
#-out=Ramp
#-out=Iamp
#
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_34450423
#Name: J/A+A/445/423
#Title: WeCAPP Survey. M31 variables (Fliri+, 2006)
#Table	J_A_A_445_423_table2:
#Name: J/A+A/445/423/table2
#Title: Variables in Group 1-3
#Column	_RAJ2000	(F9.5)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F9.5)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	Cl	(A3)	Classification (3)	[ucd=meta.code;src.var]
#Column	RAJ2000	(A11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	RPer	(F9.4)	? Period derived from R band data	[ucd=time.period]
#Column	RSig	(F6.2)	? -log10 of significance of RP (1)	[ucd=stat.fit.goodness]
#Column	IPer	(F9.4)	? Period derived from I band data	[ucd=time.period]
#Column	ISig	(F6.2)	? -log10 of significance of IP (1)	[ucd=stat.fit.goodness]
#Column	Ramp	(F6.2)	Amplitude in broad-band R filter (2)	[ucd=arith.rate;src.var.amplitude;em.opt.R]
#Column	Iamp	(F6.2)	Amplitude in broad-band I filter (2)	[ucd=arith.rate;src.var.amplitude;em.opt.I]
_RAJ2000;_DEJ2000;Cl;RAJ2000;DEJ2000;RPer;RSig;IPer;ISig;Ramp;Iamp
010.85246;+41.13558;S  ;00 43 24.59;+41 08 08.10; 293.5400; 22.77; 282.7800; 38.00;  0.64;  2.25
010.84221;+41.13556;I  ;00 43 22.13;+41 08 08.00; 137.6000;  3.63; 146.7700;  1.77;  0.47;  1.23
010.71075;+41.13483;S  ;00 42 50.58;+41 08 05.40; 246.5800; 34.26; 248.5700; 44.69;  0.90;  2.19
010.66292;+41.13500;I  ;00 42 39.10;+41 08 06.00; 109.8000;  6.91; 111.0000;  9.18;  0.46;  0.97
010.66583;+41.13475;S  ;00 42 39.80;+41 08 05.10; 342.9700; 33.95; 335.4400; 26.27;  1.07;  2.42
010.59892;+41.13444;S  ;00 42 23.74;+41 08 04.00; 282.6300; 18.31; 264.1100; 26.27;  0.46;  2.00
010.58688;+41.13425;S  ;00 42 20.85;+41 08 03.30; 313.6300; 17.61; 300.3600; 26.06;  0.81;  2.32
010.79192;+41.13581;S  ;00 43 10.06;+41 08 08.90; 244.6200;  5.82; 248.5700; 21.84;  0.48;  1.43
010.72896;+41.13550;S  ;00 42 54.95;+41 08 07.80; 335.0200; 21.46; 338.4800; 32.34;  0.67;  2.77
010.63950;+41.13506;S  ;00 42 33.48;+41 08 06.20; 277.5000; 17.18; 283.6800; 28.40;  0.45;  2.07
010.58487;+41.13472;I  ;00 42 20.37;+41 08 05.00;         ;      ;         ;      ;  0.41;  1.50
010.51217;+41.13392;S  ;00 42 02.92;+41 08 02.10; 178.9700; 25.31; 181.7400; 19.92;  0.70;  1.66
010.67583;+41.13533;I  ;00 42 42.20;+41 08 07.20; 154.9500; 14.99; 158.9900; 17.29;  0.40;  0.96
010.54413;+41.13461;L  ;00 42 10.59;+41 08 04.60;         ;      ;         ;      ;  1.01;  2.76
010.53033;+41.13458;I  ;00 42 07.28;+41 08 04.50; 128.8000; 12.23; 127.7200;  4.97;  0.50;  0.91
010.69742;+41.13497;S  ;00 42 47.38;+41 08 05.90; 380.5300; 10.04; 380.5300; 36.66;  0.57;  1.96
010.82721;+41.13544;S  ;00 43 18.53;+41 08 07.60; 261.2000; 29.98; 256.8500; 37.93;  0.90;  2.94
010.81704;+41.13656;I  ;00 43 16.09;+41 08 11.60; 125.8000;  9.85; 125.8000;  9.85;  0.53;  1.18
010.58896;+41.13442;S  ;00 42 21.35;+41 08 03.90; 320.1700; 20.10; 300.3600; 29.09;  0.59;  2.37
010.66196;+41.13475;S  ;00 42 38.87;+41 08 05.10; 224.4500; 23.22; 233.0200; 25.89;  0.60;  1.60
010.79317;+41.13553;W  ;00 43 10.36;+41 08 07.90;  25.7700; 29.07;  25.7700; 16.14;  0.66;  1.20
010.66296;+41.13589;S  ;00 42 39.11;+41 08 09.20; 189.5900; 10.81; 187.2700; 26.87;  0.47;  1.88
010.84688;+41.13625;S  ;00 43 23.25;+41 08 10.50; 263.4400; 17.08; 265.7100; 29.43;  0.69;  1.77
010.66179;+41.13544;S  ;00 42 38.83;+41 08 07.60; 216.4900; 11.80; 213.4600; 26.61;  0.43;  1.48
010.63592;+41.13525;I  ;00 42 32.62;+41 08 06.90;         ;      ;         ;      ;  0.42;  2.21
010.77387;+41.13628;I  ;00 43 05.73;+41 08 10.60;  72.0100;  5.80;  72.0100;  0.53;  0.47;  1.11
010.76333;+41.13622;S  ;00 43 03.20;+41 08 10.40; 366.9300; 16.14; 337.4300; 33.78;  0.52;  1.98
010.61425;+41.13547;I  ;00 42 27.42;+41 08 07.70; 126.6600;  9.64; 129.3900;  4.91;  0.46;  0.94
010.60354;+41.13539;S  ;00 42 24.85;+41 08 07.40; 308.3300; 10.41; 304.8700; 24.68;  0.41;  2.07
010.62512;+41.13583;I  ;00 42 30.03;+41 08 09.00; 174.4300; 12.01; 178.5100; 10.11;  0.48;  0.90
010.60221;+41.13569;S  ;00 42 24.53;+41 08 08.50; 317.9600; 11.01; 318.6100; 25.36;  0.45;  1.95
010.71587;+41.13542;S  ;00 42 51.81;+41 08 07.50; 108.1500; 31.79; 108.5300;  5.87;  0.58;  1.06
010.59221;+41.13475;S  ;00 42 22.13;+41 08 05.10; 331.7900; 25.07; 325.9300; 29.52;  0.57;  2.25
010.56771;+41.13461;S  ;00 42 16.25;+41 08 04.60; 278.5000; 23.96; 278.5200; 29.87;  0.55;  1.80
010.66667;+41.13553;S  ;00 42 40.00;+41 08 07.90; 189.5900; 24.55; 185.0000; 11.41;  0.61;  1.01
010.64546;+41.13542;S  ;00 42 34.91;+41 08 07.50; 341.8500; 13.35; 342.9800; 23.56;  0.44;  2.56
010.54625;+41.13483;S  ;00 42 11.10;+41 08 05.40; 317.9600; 19.01; 308.3300; 27.38;  0.48;  2.25
010.54242;+41.13483;I  ;00 42 10.18;+41 08 05.40; 143.3100; 16.92; 141.8400; 19.93;  0.54;  1.50
010.80271;+41.13650;S  ;00 43 12.65;+41 08 11.40; 311.3300; 10.83; 308.2300; 37.10;  0.45;  1.81
010.68367;+41.13578;S  ;00 42 44.08;+41 08 08.80; 272.7600; 24.08; 280.0500; 34.75;  0.56;  2.27
010.67704;+41.13614;S  ;00 42 42.49;+41 08 10.10; 265.4300;  5.96; 255.3100; 21.62;  0.37;  1.65
010.53704;+41.13528;I  ;00 42 08.89;+41 08 07.00; 207.6500; 13.75; 207.0100; 16.70;  0.42;  1.39
010.56658;+41.13508;S  ;00 42 15.98;+41 08 06.30; 317.9700; 19.99; 317.9700; 27.05;  0.52;  1.94
010.50842;+41.13394;S  ;00 42 02.02;+41 08 02.20; 185.5100; 22.29; 188.6700; 18.87;  1.22;  2.10
010.59054;+41.13497;S  ;00 42 21.73;+41 08 05.90; 119.7000; 23.19; 122.5500; 17.15;  0.72;  1.10
010.64154;+41.13564;S  ;00 42 33.97;+41 08 08.30; 234.8000; 18.55; 232.8300; 27.57;  0.53;  2.19
010.78933;+41.13603;S  ;00 43 09.44;+41 08 09.70; 196.3200; 28.52; 198.8600; 19.98;  0.47;  1.39
010.75496;+41.13658;I  ;00 43 01.19;+41 08 11.70; 191.4400; 17.39; 195.0800;  7.31;  0.59;  1.21
010.69796;+41.13556;S  ;00 42 47.51;+41 08 08.00; 422.2300; 13.62; 422.2300; 35.32;  0.52;  2.34
010.68096;+41.13658;S  ;00 42 43.43;+41 08 11.70; 328.2300;  5.46; 328.2300; 26.29;  0.40;  1.61
010.78671;+41.13553;S  ;00 43 08.81;+41 08 07.90; 215.5400; 43.30; 212.5700; 42.87;  1.25;  2.31
010.73996;+41.13511;S  ;00 42 57.59;+41 08 06.40; 256.8500; 35.38; 254.7300; 39.85;  0.81;  2.63
010.69442;+41.13542;S  ;00 42 46.66;+41 08 07.50; 125.2900; 49.57; 125.9600; 28.53;  0.89;  1.62
010.63812;+41.13544;S  ;00 42 33.15;+41 08 07.60; 175.4300; 28.75; 177.4700; 24.07;  0.83;  1.46
010.80383;+41.13625;S  ;00 43 12.92;+41 08 10.50; 198.8500; 33.71; 197.8100; 33.58;  0.79;  1.78
010.69217;+41.13606;I  ;00 42 46.12;+41 08 09.80; 158.8800; 16.24; 158.0600; 12.53;  0.56;  1.23
010.66808;+41.13600;I  ;00 42 40.34;+41 08 09.60; 331.7900; 10.71; 346.8800; 16.83;  0.48;  1.42
010.74225;+41.13542;S  ;00 42 58.14;+41 08 07.50; 202.7800; 33.28; 204.1200; 37.45;  0.95;  2.46
010.79383;+41.13600;S  ;00 43 10.52;+41 08 09.60; 191.4400; 37.84; 190.2600; 31.22;  0.53;  1.49
010.63375;+41.13556;S  ;00 42 32.10;+41 08 08.00; 249.9900; 15.23; 242.2600; 24.42;  0.42;  1.51
010.59904;+41.13533;S  ;00 42 23.77;+41 08 07.20; 321.3100; 18.72; 325.4000; 31.51;  0.45;  2.59
010.52858;+41.13492;S  ;00 42 06.86;+41 08 05.70; 353.7700; 17.07; 346.8800; 21.46;  0.54;  3.17
010.78904;+41.13669;I  ;00 43 09.37;+41 08 12.10;         ;      ;         ;      ;  0.41;  1.15
010.56412;+41.13547;S  ;00 42 15.39;+41 08 07.70; 324.7300;  2.12; 314.6900; 21.72;  0.47;  1.51
010.52837;+41.13564;S  ;00 42 06.81;+41 08 08.30; 253.5400; 16.70; 250.0000; 27.50;  0.55;  1.70
010.80079;+41.13581;S  ;00 43 12.19;+41 08 08.90; 228.3100; 45.10; 228.3200; 42.90;  0.85;  2.65
010.75758;+41.13597;S  ;00 43 01.82;+41 08 09.50; 243.5800; 20.74; 243.5800; 41.43;  0.84;  2.42
010.60804;+41.13556;S  ;00 42 25.93;+41 08 08.00; 136.2700; 22.26; 134.3700; 12.03;  0.62;  1.36
010.53079;+41.13508;S  ;00 42 07.39;+41 08 06.30; 282.6300; 23.69; 280.0500; 28.07;  0.79;  2.50
010.84475;+41.13703;S  ;00 43 22.74;+41 08 13.30; 321.0600; 28.36; 316.9200; 44.70;  0.61;  1.93
010.55225;+41.13556;I  ;00 42 12.54;+41 08 08.00; 308.3300;  6.87; 308.3300; 19.00;  0.68;  2.12
010.69396;+41.13669;S  ;00 42 46.55;+41 08 12.10; 305.1700; 14.75; 311.3400; 34.28;  0.48;  1.78
010.69042;+41.13669;I  ;00 42 45.70;+41 08 12.10; 198.8600;  2.34; 198.8600; 18.25;  0.58;  1.91
010.67225;+41.13694;I  ;00 42 41.34;+41 08 13.00;  90.3100;  7.83;  90.3100;  2.32;  0.40;  0.71
010.66854;+41.13600;S  ;00 42 40.45;+41 08 09.60; 324.7300; 20.75; 328.2300; 28.97;  0.81;  2.62
010.83362;+41.13564;S  ;00 43 20.07;+41 08 08.30; 135.1800; 22.58; 137.0900; 16.31;  0.48;  1.14
010.59512;+41.13525;S  ;00 42 22.83;+41 08 06.90; 251.9300; 20.66; 278.5200; 22.95;  0.54;  2.60
010.72558;+41.13625;S  ;00 42 54.14;+41 08 10.50; 324.4400; 20.95; 317.7600; 38.77;  0.54;  2.33
010.83762;+41.13719;DC ;00 43 21.03;+41 08 13.90;   6.9100; 14.03;   6.9000;  3.56;  0.51;  1.00
010.79617;+41.13700;I  ;00 43 11.08;+41 08 13.20;         ;      ;         ;      ;  0.40;  1.29
010.57692;+41.13583;I  ;00 42 18.46;+41 08 09.00; 119.7000; 13.18; 122.1000;  8.52;  0.37;  1.06
010.54021;+41.13558;S  ;00 42 09.65;+41 08 08.10; 274.9900; 21.65; 277.5000; 26.10;  0.78;  2.86
010.63233;+41.13653;S  ;00 42 31.76;+41 08 11.50; 500.4000;  9.60; 478.7000; 22.69;  0.47;  3.48
010.58358;+41.13456;S  ;00 42 20.06;+41 08 04.40; 180.7900; 29.32; 180.2100; 26.71;  0.76;  1.70
010.63137;+41.13558;S  ;00 42 31.53;+41 08 08.10; 289.9600; 18.52; 293.5100; 23.71;  0.74;  3.18
010.71717;+41.13639;S  ;00 42 52.12;+41 08 11.00; 299.2400; 33.60; 302.1800; 41.93;  0.63;  2.59
010.82387;+41.13689;I  ;00 43 17.73;+41 08 12.80; 136.3000;  8.92; 140.7400;  4.86;  0.49;  1.05
010.58304;+41.13603;S  ;00 42 19.93;+41 08 09.70; 284.5900; 10.99; 273.5400; 29.43;  0.43;  2.03
010.68962;+41.13631;S  ;00 42 45.51;+41 08 10.70; 268.0100; 19.64; 267.9400; 38.87;  0.57;  2.56
010.57850;+41.13578;S  ;00 42 18.84;+41 08 08.80; 240.3500; 21.15; 247.0700; 27.50;  0.51;  1.74
010.57396;+41.13578;S  ;00 42 17.75;+41 08 08.80; 423.9600;  5.73; 423.9600; 24.32;  0.48;  1.36
010.57267;+41.13572;S  ;00 42 17.44;+41 08 08.60; 280.0400; 16.27; 278.5100; 27.95;  0.48;  1.69
010.62787;+41.13553;S  ;00 42 30.69;+41 08 07.90; 216.4800; 17.07; 218.0300; 21.92;  0.81;  2.21
010.57100;+41.13522;S  ;00 42 17.04;+41 08 06.80; 229.5000; 25.36; 229.5100; 28.31;  0.79;  2.58
010.76108;+41.13694;S  ;00 43 02.66;+41 08 13.00; 226.4400; 29.33; 230.9900; 35.27;  0.53;  1.96
010.64717;+41.13667;L  ;00 42 35.32;+41 08 12.00;         ;      ;         ;      ;  0.40;  1.78
010.59683;+41.13642;S  ;00 42 23.24;+41 08 11.10; 314.6800; 24.78; 319.1300; 31.99;  0.53;  2.60
010.56125;+41.13614;S  ;00 42 14.70;+41 08 10.10; 214.9600; 26.14; 209.8400; 27.26;  0.59;  1.77
010.60312;+41.13678;S  ;00 42 24.75;+41 08 12.40; 277.4900; 10.20; 280.0400; 23.22;  0.42;  1.53
010.69763;+41.13639;S  ;00 42 47.43;+41 08 11.00; 497.1200; 24.86; 505.2800; 28.47;  0.80;  6.19
010.60121;+41.13653;S  ;00 42 24.29;+41 08 11.50; 198.2100; 21.46; 198.6100; 23.74;  0.46;  2.82
010.76350;+41.13772;S  ;00 43 03.24;+41 08 15.80; 318.2300;  6.45; 311.8000; 34.54;  0.58;  2.54
010.66312;+41.13725;S  ;00 42 39.15;+41 08 14.10; 205.6200; 22.82; 205.6200; 29.33;  0.49;  2.37
010.53808;+41.13564;S  ;00 42 09.14;+41 08 08.30; 185.1600; 21.60; 193.9000; 20.45;  0.71;  1.46
010.77862;+41.13758;S  ;00 43 06.87;+41 08 15.30; 358.4000;  6.76; 358.4000; 23.67;  0.56;  2.22
010.60246;+41.13669;I  ;00 42 24.59;+41 08 12.10; 123.4800;  5.43; 121.3800;  3.81;  0.47;  0.93
010.53767;+41.13664;I  ;00 42 09.04;+41 08 11.90; 346.5600;  3.66; 346.5600; 19.81;  0.41;  1.66
010.68871;+41.13786;S  ;00 42 45.29;+41 08 16.30; 259.3900;  5.51; 250.9600; 46.08;  0.54;  2.27
010.63292;+41.13689;S  ;00 42 31.90;+41 08 12.80; 154.4400; 28.70; 152.6300; 15.08;  0.82;  1.34
010.83242;+41.13625;DC ;00 43 19.78;+41 08 10.50;   4.1900; 12.49;   4.1900;  2.41;  0.42;  1.10
010.77250;+41.13669;S  ;00 43 05.40;+41 08 12.10; 161.9400; 31.37; 159.7000; 23.69;  1.01;  1.85
010.74746;+41.13728;S  ;00 42 59.39;+41 08 14.20; 308.2200; 13.22; 314.5200; 34.50;  0.49;  2.29
010.70400;+41.13700;S  ;00 42 48.96;+41 08 13.20; 250.5800; 31.79; 254.7300; 40.44;  0.81;  1.90
010.68429;+41.13694;S  ;00 42 44.23;+41 08 13.00; 346.3100; 14.75; 342.7200; 34.59;  0.53;  2.52
010.75000;+41.13758;S  ;00 43 00.00;+41 08 15.30; 265.7100; 26.93; 263.4400; 35.03;  0.55;  1.56
010.77517;+41.13808;S  ;00 43 06.04;+41 08 17.10; 321.5400; 15.58; 324.9300; 39.87;  0.62;  3.65
010.72479;+41.13792;S  ;00 42 53.95;+41 08 16.50; 196.6100; 14.00; 195.3700; 43.41;  0.52;  3.60
010.63754;+41.13739;S  ;00 42 33.01;+41 08 14.60; 235.4500; 24.17; 235.4500; 30.80;  0.47;  1.86
010.55942;+41.13661;S  ;00 42 14.26;+41 08 11.80; 151.9400; 20.16; 151.2000; 20.41;  0.53;  1.77
010.74129;+41.13789;S  ;00 42 57.91;+41 08 16.40; 288.4800; 40.87; 288.4900; 62.22;  0.74;  2.77
010.62688;+41.13672;I  ;00 42 30.45;+41 08 12.20; 113.9000; 16.87; 116.9500; 10.91;  0.59;  0.94
010.57142;+41.13750;S  ;00 42 17.14;+41 08 15.00; 390.4200;  5.96; 390.4300; 29.14;  0.36;  1.85
010.61304;+41.13717;S  ;00 42 27.13;+41 08 13.80; 275.3900; 24.19; 288.2600; 28.52;  0.66;  3.81
010.59317;+41.13572;I  ;00 42 22.36;+41 08 08.60;         ;      ;         ;      ;  0.89;  1.29
010.72387;+41.13681;S  ;00 42 53.73;+41 08 12.50; 171.2300; 14.17; 171.2400; 29.87;  0.50;  1.79
010.51817;+41.13586;S  ;00 42 04.36;+41 08 09.10; 247.3500; 22.98; 248.2500; 28.21;  0.83;  2.44
010.83817;+41.13794;S  ;00 43 21.16;+41 08 16.60; 581.5600; 31.43; 581.5600; 40.29;  0.70;  3.06
010.55454;+41.13647;S  ;00 42 13.09;+41 08 11.30; 346.8700; 20.48; 356.2400; 23.25;  0.54;  3.18
010.79387;+41.13814;S  ;00 43 10.53;+41 08 17.30; 434.7600; 35.70; 411.5800; 25.47;  0.60;  1.75
010.60675;+41.13711;S  ;00 42 25.62;+41 08 13.60; 149.7300; 24.10; 150.3700; 28.74;  0.82;  1.80
010.68825;+41.13658;S  ;00 42 45.18;+41 08 11.70; 282.7700; 22.01; 278.0500; 29.38;  0.58;  1.55
010.72862;+41.13814;S  ;00 42 54.87;+41 08 17.30; 199.1500; 36.74; 200.4500; 33.95;  0.81;  2.29
010.70263;+41.13803;I  ;00 42 48.63;+41 08 16.90;  80.1800;  7.21;  80.3900;  4.99;  0.53;  1.50
010.67142;+41.13786;S  ;00 42 41.14;+41 08 16.30; 254.9100;  4.27; 263.6300; 24.15;  0.52;  1.30
010.76825;+41.13839;S  ;00 43 04.38;+41 08 18.20; 328.3800; 13.01; 314.9900; 33.43;  0.64;  2.47
010.52279;+41.13536;S  ;00 42 05.47;+41 08 07.30; 323.6600; 22.81; 317.9700; 26.96;  1.45;  3.83
010.82900;+41.13739;S  ;00 43 18.96;+41 08 14.60; 125.8000; 40.51; 124.8900; 23.74;  0.56;  1.25
010.80883;+41.13725;S  ;00 43 14.12;+41 08 14.10; 200.1400; 47.62; 200.1500; 38.07;  0.80;  1.72
010.60533;+41.13619;S  ;00 42 25.28;+41 08 10.30; 206.2500; 28.53; 209.8400; 29.73;  1.30;  2.85
010.67500;+41.13706;S  ;00 42 42.00;+41 08 13.40; 293.5100; 12.47; 296.3600; 27.59;  0.45;  2.19
010.56925;+41.13675;I  ;00 42 16.62;+41 08 12.30; 144.1300; 16.27; 142.1400; 13.83;  0.46;  1.21
010.56300;+41.13667;S  ;00 42 15.12;+41 08 12.00; 228.4700; 30.69; 228.4800; 34.34;  0.65;  2.26
010.79954;+41.13867;I  ;00 43 11.89;+41 08 19.20;         ;      ;         ;      ;  0.39;  1.96
010.64621;+41.13789;I  ;00 42 35.09;+41 08 16.40; 141.4800; 18.92; 140.2000; 14.98;  0.51;  1.14
010.74187;+41.13869;I  ;00 42 58.05;+41 08 19.30; 203.0800; 13.13; 203.0800; 11.42;  0.47;  1.45
010.71471;+41.13658;S  ;00 42 51.53;+41 08 11.70; 290.7700; 43.00; 296.3700; 44.80;  0.87;  4.03
010.76583;+41.13783;S  ;00 43 03.80;+41 08 16.20; 200.4400; 51.48; 201.7600; 48.88;  0.73;  2.52
010.52871;+41.13661;S  ;00 42 06.89;+41 08 11.80; 272.9500; 24.00; 282.9700; 31.07;  0.70;  2.73
010.51650;+41.13681;S  ;00 42 03.96;+41 08 12.50; 242.0700; 16.71; 243.6100; 26.99;  0.43;  1.58
010.53771;+41.13733;S  ;00 42 09.05;+41 08 14.40; 261.3900; 13.00; 261.3900; 26.85;  0.41;  1.55
010.69537;+41.13789;S  ;00 42 46.89;+41 08 16.40; 100.8800; 30.32; 100.8800;  4.96;  0.60;  1.54
010.76975;+41.13736;S  ;00 43 04.74;+41 08 14.50; 220.1600; 40.18; 215.1400; 41.35;  0.79;  2.27
010.52404;+41.13664;S  ;00 42 05.77;+41 08 11.90; 188.6100; 25.87; 190.4000; 21.79;  0.64;  1.39
010.74121;+41.13831;S  ;00 42 57.89;+41 08 17.90; 299.6900; 24.54; 305.6300; 51.85;  0.54;  2.65
010.78167;+41.13878;S  ;00 43 07.60;+41 08 19.60; 278.0900; 15.50; 280.6200; 42.73;  0.70;  2.21
010.65775;+41.13817;S  ;00 42 37.86;+41 08 17.40; 400.5700;  9.94; 400.5700; 30.60;  0.40;  2.90
010.63650;+41.13767;S  ;00 42 32.76;+41 08 15.60; 317.9700; 22.04; 317.9800; 31.94;  0.63;  2.96
010.63579;+41.13808;S  ;00 42 32.59;+41 08 17.10; 191.4200; 15.25; 190.2400; 23.05;  0.47;  1.36
