#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-01-27T22:19:12 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ54c7defe3919	
#INFO	-out.max=unlimited	
#INFO	queryParameters=21	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJS/194/42&tab:{J/ApJS/194/42/table3}&key:source=J/ApJS/194/42&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/194/42/table3
#-order=I
#-out=SDSS
#-out=z
#-out=LL(b)
#-out=st(a)
#-out=MBH(ab)
#-out=e_MBH(ab)
#DR3+7=DR3+7
#Sloan=Sloan
#Simbad=Simbad
#NED=NED
#-out=RAJ2000
#-out=DEJ2000
#

#RESOURCE=yCat_21940042
#Name: J/ApJS/194/42
#Title: SDSS-DR3 MgII-based black hole masses (Rafiee+, 2011)
#Table	J_ApJS_194_42_table3:
#Name: J/ApJS/194/42/table3
#Title: Catalog of virial mass measurements
#Column	SDSS	(A18)	SDSS designation (HHMMSS.ss+DDMMSS.s; J2000)	[ucd=meta.id;meta.main]
#Column	z	(F7.4)	Redshift (spectroscopic)	[ucd=src.redshift]
#Column	LL(b)	(E8.1)	? Monochromatic 3000{AA} luminosity; in 10^44^erg/s units (2)	[ucd=meta.unit]
#Column	st(a)	(F5.1)	? Intrinsic {sigma}(MgII); in Angstrom (4)	[ucd=stat.error]
#Column	MBH(ab)	(E9.2)	? BH mass, after PCA and before RPC (4)	[ucd=phys.mass]
#Column	e_MBH(ab)	(E9.2)	? Error in MBH(ab) (4)	[ucd=stat.error]
#Column	RAJ2000	(F9.5)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
SDSS;z;LL(b);st(a);MBH(ab);e_MBH(ab);RAJ2000;DEJ2000
001341.74+143531.3; 1.9332; 7.0e+01; 22.5; 1.48e+09; 3.12e+08;003.42393;+14.59203
001342.44-002412.6; 1.6438; 2.3e+02; 17.9; 1.69e+09; 3.56e+08;003.42687;-00.40351
001347.60-002507.0; 1.1193; 4.1e+01; 28.2; 1.78e+09; 3.74e+08;003.44835;-00.41862
001349.42+140702.1; 1.6840; 6.9e+01; 16.2; 7.69e+08; 1.62e+08;003.45592;+14.11725
001356.50+153330.8; 1.2615; 6.2e+01; 20.1; 1.09e+09; 2.29e+08;003.48542;+15.55857
001400.45+004255.4; 1.7097; 1.0e+02; 17.5; 1.10e+09; 2.32e+08;003.50189;+00.71540
001401.54+002834.2; 1.4124; 3.5e+01; 15.3; 4.87e+08; 1.03e+08;003.50643;+00.47619
001404.60-010357.9; 0.9805; 3.9e+01; 21.2; 9.85e+08; 2.08e+08;003.51919;-01.06609
001408.22-085242.2; 1.7446; 1.3e+02; 21.4; 1.79e+09; 3.77e+08;003.53427;-08.87840
001410.99-084429.1; 1.7672; 7.7e+01; 19.7; 1.18e+09; 2.48e+08;003.54580;-08.74144
001415.32+134441.2; 0.8429; 1.7e+01; 13.1; 2.50e+08; 5.26e+07;003.56384;+13.74479
001420.36-091849.3; 1.0825; 1.0e+02; 49.8; 8.86e+09; 1.87e+09;003.58486;-09.31371
001426.96-000306.7; 1.1770; 2.0e+01; 19.1; 5.63e+08; 1.19e+08;003.61236;-00.05188
001436.33+153929.6; 1.1868; 4.2e+01; 15.5; 5.47e+08; 1.15e+08;003.65138;+15.65823
001438.28-010750.1; 1.8156; 1.4e+02; 20.4; 1.72e+09; 3.61e+08;003.65952;-01.13061
001438.61-110602.1; 1.3950; 9.1e+01; 18.9; 1.19e+09; 2.50e+08;003.66091;-11.10061
001444.02-000018.5; 1.5509; 1.7e+02; 15.9; 1.13e+09; 2.38e+08;003.68345;-00.00515
001449.58-111039.8; 0.7717; 9.5e+00; 19.5; 4.09e+08; 8.61e+07;003.70659;-11.17774
001453.36-002827.6; 1.9226; 1.3e+02; 21.2; 1.75e+09; 3.70e+08;003.72234;-00.47435
001454.65-100222.3; 0.8523; 5.3e+00; 23.7; 4.35e+08; 9.16e+07;003.72772;-10.03953
001459.53+160716.1; 1.4786; 6.1e+01; 18.9; 9.88e+08; 2.08e+08;003.74808;+16.12115
001500.90-090121.9; 1.3579; 5.8e+01; 17.6; 8.30e+08; 1.75e+08;003.75377;-09.02278
001507.00-000800.9; 1.7033; 2.2e+02; 17.8; 1.64e+09; 3.45e+08;003.77920;-00.13361
001509.47-102709.4; 1.1318; 3.7e+01; 17.6; 6.52e+08; 1.37e+08;003.78948;-10.45261
001514.30+151403.8; 0.8338; 2.6e+01; 18.4; 6.02e+08; 1.27e+08;003.80962;+15.23440
001514.88-103043.6; 1.1689; 3.8e+01; 21.1; 9.77e+08; 2.06e+08;003.81203;-10.51212
001520.30-093954.9; 1.5350; 5.4e+01; 17.8; 7.97e+08; 1.68e+08;003.83462;-09.66526
001535.54+005356.0; 1.3587; 4.3e+01; 17.5; 7.10e+08; 1.50e+08;003.89809;+00.89891
001535.71-001114.3; 1.2959; 5.0e+01; 19.1; 9.13e+08; 1.92e+08;003.89881;-00.18731
001540.09+151453.1; 1.3259; 5.6e+01; 19.5; 9.99e+08; 2.10e+08;003.91704;+15.24811
001540.86-084953.6; 1.4019; 4.1e+01; 17.0; 6.50e+08; 1.37e+08;003.92026;-08.83156
001545.33-095754.0; 1.7959; 4.6e+01; 19.9; 9.14e+08; 1.93e+08;003.93888;-09.96502
001617.97+001020.8; 1.5489; 5.0e+01; 18.7; 8.55e+08; 1.80e+08;004.07489;+00.17247
001622.99-103817.1; 1.5122; 5.8e+01; 12.8; 4.36e+08; 9.19e+07;004.09580;-10.63808
001623.34-092101.5; 0.8191; 1.7e+01; 19.0; 5.29e+08; 1.12e+08;004.09729;-09.35043
001638.20-094658.6; 0.7843; 2.5e+01; 14.7; 3.77e+08; 7.95e+07;004.15920;-09.78296
001643.06+150420.6; 1.2572; 3.8e+01; 15.8; 5.32e+08; 1.12e+08;004.17945;+15.07240
001647.83+011220.2; 1.4906; 5.2e+01; 15.6; 6.30e+08; 1.33e+08;004.19929;+01.20563
001656.99+005532.1; 1.7561; 7.6e+01; 17.0; 8.97e+08; 1.89e+08;004.23750;+00.92560
001659.74-095903.5; 1.1770; 3.3e+01; 18.9; 7.14e+08; 1.50e+08;004.24893;-09.98431
001702.57-103024.4; 1.2834; 4.2e+01; 17.3; 6.85e+08; 1.44e+08;004.26075;-10.50680
001710.85+135556.5; 1.8082; 2.9e+02; 20.1; 2.39e+09; 5.03e+08;004.29524;+13.93236
001712.79-090654.3; 1.2589; 4.6e+01; 19.5; 8.93e+08; 1.88e+08;004.30331;-09.11510
001726.20-090058.5; 1.4310; 4.9e+01; 19.7; 9.58e+08; 2.02e+08;004.35917;-09.01625
001728.54-103745.3; 1.2289; 3.7e+01; 19.6; 8.17e+08; 1.72e+08;004.36892;-10.62927
001735.69-011325.0; 0.8050; 1.5e+01; 18.0; 4.36e+08; 9.18e+07;004.39873;-01.22362
001738.76-003116.9; 0.8539; 2.4e+01; 17.8; 5.53e+08; 1.17e+08;004.41154;-00.52137
001741.87-105613.2; 1.8061; 1.0e+02; 14.2; 7.11e+08; 1.50e+08;004.42448;-10.93702
001750.88-003349.5; 1.0856; 5.1e+01; 14.9; 5.63e+08; 1.19e+08;004.46203;-00.56377
001754.16+011123.3; 1.4649; 6.4e+01; 19.3; 1.04e+09; 2.18e+08;004.47570;+01.18983
001800.20+004602.8; 1.9004; 1.0e+02; 19.6; 1.42e+09; 2.99e+08;004.50085;+00.76746
001800.47+154258.4; 1.0648; 2.3e+01; 22.2; 8.32e+08; 1.75e+08;004.50198;+15.71624
001807.04+153341.1; 0.9852; 3.1e+01; 17.2; 5.77e+08; 1.22e+08;004.52935;+15.56143
001811.14-100855.1; 1.0119; 3.3e+01; 21.1; 9.06e+08; 1.91e+08;004.54643;-10.14865
001820.80-102008.2; 1.6498; 2.4e+01; 18.4; 5.89e+08; 1.24e+08;004.58670;-10.33561
001826.79-091038.7; 1.8579; 9.3e+01; 22.4; 1.69e+09; 3.56e+08;004.61166;-09.17744
001836.40-002933.0; 1.8525; 1.1e+02; 29.4; 3.12e+09; 6.58e+08;004.65170;-00.49252
001838.67+144300.9; 1.4730; 5.1e+01; 17.7; 7.71e+08; 1.62e+08;004.66114;+14.71693
001839.83-001303.0; 1.5892; 4.6e+01; 15.9; 5.83e+08; 1.23e+08;004.66597;-00.21752
001845.62-084727.5; 1.5798; 7.9e+01; 18.3; 1.04e+09; 2.19e+08;004.69012;-08.79099
001901.53-085738.7; 1.6879; 8.4e+01; 18.2; 1.08e+09; 2.27e+08;004.75640;-08.96076
001907.23-092050.6; 1.4273; 4.5e+01; 15.9; 5.91e+08; 1.24e+08;004.78015;-09.34741
001913.57-103847.7; 1.8625; 7.6e+01; 23.2; 1.59e+09; 3.35e+08;004.80658;-10.64659
001913.75+002521.0; 1.5711; 4.0e+01; 17.2; 6.71e+08; 1.41e+08;004.80733;+00.42250
001922.55-000915.0; 1.6971; 7.3e+01; 20.0; 1.22e+09; 2.57e+08;004.84398;-00.15417
001926.49+155002.8; 1.6629; 5.9e+01; 17.5; 8.25e+08; 1.74e+08;004.86039;+15.83411
001927.17+003539.0; 1.2889; 3.8e+01; 25.4; 1.42e+09; 3.00e+08;004.86322;+00.59419
